User,Location,Text
justiciacastigo,"Berlín, Alemania","Ni lo uno ni lo otro... Nos hace falta observación, lógica y coherencia... #ParoNacional28A #ParoNacional29A… https://t.co/wZsDjTdcfC"
sincensura2p0,,Esta es la máxima expresión de una dictadura encubierta #ParoNacional30A #ParoNacional29A #ColombiaResiste… https://t.co/gbV51ohFta
BladoPolis,,"Vientos de dictadura en Colombia: la policía arresta defensores de Derechos Humanos, recluye jóvenes en coliseo, ha… https://t.co/dGiTf7XUTm"
UnidadUd,Carrera 16 No. 37-11 Bogotá Co,#URGENTE denunciar y exigir justicia ante la violación de derechos humanos en el marco del #ParoNacional30A… https://t.co/AvPYnyVoqP
iujovenesvallad,"Calle Jardines, 1, Valladolid","⚒️ Ni un paso atrás en la defensa de nuestros derechos, más aún en la juventud trabajadora en los que se vulneran c… https://t.co/NdhLC3Asfy"
essiurell,,"@jpyllanes @UHmallorca Si seguimos así, cuando llegue la derogación ya no quedarán trabajadores en Baleares, solo q… https://t.co/FJtsHsnR8r"
JeanZelevWaves,"Pereira, Colombia","Policias se unen al paro 
Pereira/Dosquebradas
#ParoNacional29A
#PoliciaUneteAlParo https://t.co/sT67Ly12Tu"
JUANCAELBROKY,Colombia,"Profesor Guillermo Benítez Sepúlveda detenido de forma arbitraria hace dos días en Copacabana, Antioquia, fue vícti… https://t.co/18YmDcl4Se"
camilozuleta_07,"Bogotá, D.C., Colombia","@Santialarconu Colombia es una fosa común. 
#NosEstánMatando
#NosEstánMasacrando
#TheyAreKillingUs… https://t.co/6uyqObyQMo"
cortes_tatan,,""" A despertar #Colombianos, A liberar la patria, A sacar a este gobierno traidor , inepto y corrupto de @IvanDuque… https://t.co/oqAK1jPHEl"
FeoChinito,"Bogotá, D.C., Colombia","Un #policia sin identificar no es un #policia es un #paramilitar 

#ParoNacional30A
#ParoNacional
#SOSColombia… https://t.co/kRe2Ue5jB7"
anonimous_name,Tu corazón bb ,"#Ayuda #GobiernoGenocida
Soy Colombiana  nos están matando necesitamos  presencia de medios internacionales  y de l… https://t.co/4xw6aHoe3l"
