User,Location,Text,sentiment,probability
JoSoliis,Resistencia Chaco Argentina,"#MartesDeGanarSegidores #SiguemeYTeSigo
#MasterChefArgentina
#MarvelStudios
¡Ven y recoge dinero que puedes retirar… https://t.co/dXkPfxOoNC",Positivo,52
quierenchou,,Que nervios @MarvelLATAM @MarvelStudios #MarvelStudios #marvel https://t.co/jAQWiUTK6x,Positivo,64
CortesVlogs,Nuevo Leon,"La gente que pensó que Avengers: End Game era el final de todo, no tenía ni idea de que tan grande sera el próximo… https://t.co/hQ3T3tJfGd",Positivo,70
Mr_CHINO07,Cuba,#Loki se estrena el próximo 11 de junio. Emoción máxima por ver a #TomHiddleston y #owenwilson trabajando juntos en… https://t.co/CPclbjn0v4,Positivo,75
Popkinema,,#Entretenimiento | “El mundo puede cambiar y evolucionar pero la única cosa que nunca cambiará es que todos somos p… https://t.co/IHH4eGWl3p,Positivo,55
JavierTMaya,"Acapulco de Juárez, Guerrero","DC ha mejorado y aprendido de algunos errores (excepto WW 1984) y el snydercut rebasó expectativas, pero con solo v… https://t.co/8NiZV948ui",Positivo,60
_Marcuriel,,Agradecido con el e Arriba 🗣🎙 #MarvelStudios https://t.co/z01bZFsL5n,Positivo,67
HarleyQuin___,Gotham City,"Omg 😱 lo que se Viene, sras y sres 😍🤩😱‼️‼️‼️
#MarvelStudios #FanNumberOneMarvel
#Marvel 😍😍🤩🤩😘😘 https://t.co/mYBtGoh8t4",Positivo,66
NicoFazio,,"La NBA y otra muestra de porque es la mejor organización del mundo. Siempre un paso delante del resto! 
#NBA… https://t.co/YTC3bOzhcb",Positivo,80
BMXCinema,Titán,"⭐ LOKI ⭐

Special look de la serie del Dios del engaño.

#Loki #MarvelStudios

https://t.co/2EagL5JPcp",Positivo,61
coolturehunter1,,Que esperan con más ansias de lo que se viene de #MarvelStudios? Los leo 👇🏼👀,Positivo,55
Jango1138,"Oviedo, Asturias, España","Calendario de las próximas Películas de #MarvelStudios para 2021, 2022 y 2023 
A estas hay que añadir Blade, Los Cu… https://t.co/KdA727oPZN",Positivo,65
Khamila07101559,,"Faltan 38 días, y comenzará la era de Loki
#Loki #MarvelStudios https://t.co/AiRFtyh6Om",Positivo,63
Vero_Lu,,Marvel se la comió con esa publicidad en la NBA! Pero que cracks... #MarvelStudios,Positivo,63
garnica_rapo,,"""L𝕺KI""

Tenemos nuevo spot de la serie ""L𝕺ki"".

La serie se estrena el próximo junio, 11 por Disney+.

#L𝕺KI… https://t.co/wVleA1GrWA",Positivo,75
Jango1138,"Oviedo, Asturias, España",Guionistas de las próximas películas de Marvel Studios #MarvelStudios https://t.co/GbWCTemT2l,Positivo,65
DiegoClinton33,,Los que decían que #MarvelStudios  (MCU) estaba muerto después de #AvengersEndgame no tenían ni puñetera idea de lo… https://t.co/d1dbgTkSGM,Positivo,52
RooGarSan,📍Eco moda ,"¡La mejor noticia del día! 👏🏻🤩
#MarvelStudios 
#NosVemosEnElCine 🍿 https://t.co/UaAP1zEoUj",Positivo,80
Jango1138,"Oviedo, Asturias, España",Los Nuevos Logos de películas de Marvel Studios para 2022 y 2023 #MarvelStudios https://t.co/OWveI5OMeP,Positivo,68
Noticias_JRmz,,"Marvel Studios 🎬 publica las primeras imágenes oficiales de Los Eternos 📺
https://t.co/F7GLhfNceR
#venezuela… https://t.co/wQfrawlpgZ",Positivo,64
aVecesNoHay,,a Emily Blunt con John Krasinski todos los quieren en los 4 fantasticos y yo digo que solo funcionaria si ponen a R… https://t.co/aejkKStQrY,Positivo,57
SMASHem_mx,,"Estamos listos para la unión de heroínas, ¡The Marvels se aproxima! 🤩🙌🏻 #MarvelStudios https://t.co/hkkKiF1gjM",Positivo,70
dianalara97,Ciudad Autónoma de Buenos Aire,"Díganme que vieron esta belleza
#MarvelStudios

https://t.co/vi5V4TEqSq",Positivo,67
cinestein,"Santiago, Chile","El nuevo film de #MarvelStudios #Eternals tiene su fecha de estreno el próximo 5 de noviembre, la cinta dirigida po… https://t.co/iv0sHjAm1f",Positivo,75
